RelicID,Name,Rarity,Theme,PowerA,PowerB,Description,BossOnly,DesignerNote,Tag
RELIC_ANVIL_01,回火铁砧·01,Common,Damage,0.08,0.04,永久/局内神器配置均可复用,否,伤害与击退提升（序号1）,TAG_Damage
RELIC_MINT_02,铸币模具·02,Common,Gold,0.09,0.06,永久/局内神器配置均可复用,否,金币收益与暴富模式增强（序号2）,TAG_Gold
RELIC_COIL_03,超导线圈·03,Common,Shock,0.1,0,永久/局内神器配置均可复用,否,感电层数与传播上限提升（序号3）,TAG_Shock
RELIC_BOILER_04,反应锅炉·04,Common,Fire,0.11,0.02,永久/局内神器配置均可复用,否,灼烧持续与爆燃半径提升（序号4）,TAG_Fire
RELIC_JUDGE_05,终审章·05,Common,Execute,0.12,0.04,永久/局内神器配置均可复用,否,处决阈值与处决返还能量（序号5）,TAG_Execute
RELIC_DRONE_06,蜂巢核心·06,Common,Automation,0.08,0.06,永久/局内神器配置均可复用,否,无人机数量和频率提升（序号6）,TAG_Automation
RELIC_FROST_07,冷凝心核·07,Common,Frost,0.09,0,永久/局内神器配置均可复用,否,冻结时长与易伤提升（序号7）,TAG_Frost
RELIC_SHIELD_08,守卫徽记·08,Common,Defense,0.1,0.02,永久/局内神器配置均可复用,否,护盾与回复增强（序号8）,TAG_Defense
RELIC_ANVIL_09,回火铁砧·09,Common,Damage,0.11,0.04,永久/局内神器配置均可复用,否,伤害与击退提升（序号9）,TAG_Damage
RELIC_MINT_10,铸币模具·10,Common,Gold,0.12,0.06,永久/局内神器配置均可复用,否,金币收益与暴富模式增强（序号10）,TAG_Gold
RELIC_COIL_11,超导线圈·11,Common,Shock,0.08,0,永久/局内神器配置均可复用,否,感电层数与传播上限提升（序号11）,TAG_Shock
RELIC_BOILER_12,反应锅炉·12,Common,Fire,0.09,0.02,永久/局内神器配置均可复用,否,灼烧持续与爆燃半径提升（序号12）,TAG_Fire
RELIC_JUDGE_13,终审章·13,Common,Execute,0.1,0.04,永久/局内神器配置均可复用,否,处决阈值与处决返还能量（序号13）,TAG_Execute
