AchievementID,Name,Category,Condition,Icon,Score,Platform,Hidden,RewardDesc,LocKey
ACH_001,成就 001,Progress,完成条件 001,Icon_Ach,10,Steam/InGame,1,奖励描述 001,LOC_ACH_001
ACH_002,成就 002,Progress,完成条件 002,Icon_Ach,15,Steam/InGame,1,奖励描述 002,LOC_ACH_002
ACH_003,成就 003,Progress,完成条件 003,Icon_Ach,20,Steam/InGame,1,奖励描述 003,LOC_ACH_003
ACH_004,成就 004,Progress,完成条件 004,Icon_Ach,25,Steam/InGame,1,奖励描述 004,LOC_ACH_004
ACH_005,成就 005,Progress,完成条件 005,Icon_Ach,30,Steam/InGame,1,奖励描述 005,LOC_ACH_005
ACH_006,成就 006,Progress,完成条件 006,Icon_Ach,10,Steam/InGame,1,奖励描述 006,LOC_ACH_006
ACH_007,成就 007,Progress,完成条件 007,Icon_Ach,15,Steam/InGame,1,奖励描述 007,LOC_ACH_007
ACH_008,成就 008,Progress,完成条件 008,Icon_Ach,20,Steam/InGame,1,奖励描述 008,LOC_ACH_008
ACH_009,成就 009,Progress,完成条件 009,Icon_Ach,25,Steam/InGame,1,奖励描述 009,LOC_ACH_009
ACH_010,成就 010,Progress,完成条件 010,Icon_Ach,30,Steam/InGame,1,奖励描述 010,LOC_ACH_010
ACH_011,成就 011,Progress,完成条件 011,Icon_Ach,10,Steam/InGame,1,奖励描述 011,LOC_ACH_011
ACH_012,成就 012,Progress,完成条件 012,Icon_Ach,15,Steam/InGame,1,奖励描述 012,LOC_ACH_012
ACH_013,成就 013,Progress,完成条件 013,Icon_Ach,20,Steam/InGame,1,奖励描述 013,LOC_ACH_013
ACH_014,成就 014,Progress,完成条件 014,Icon_Ach,25,Steam/InGame,1,奖励描述 014,LOC_ACH_014
ACH_015,成就 015,Progress,完成条件 015,Icon_Ach,30,Steam/InGame,1,奖励描述 015,LOC_ACH_015
ACH_016,成就 016,Progress,完成条件 016,Icon_Ach,10,Steam/InGame,1,奖励描述 016,LOC_ACH_016
ACH_017,成就 017,Progress,完成条件 017,Icon_Ach,15,Steam/InGame,1,奖励描述 017,LOC_ACH_017
ACH_018,成就 018,Progress,完成条件 018,Icon_Ach,20,Steam/InGame,1,奖励描述 018,LOC_ACH_018
ACH_019,成就 019,Progress,完成条件 019,Icon_Ach,25,Steam/InGame,1,奖励描述 019,LOC_ACH_019
ACH_020,成就 020,Progress,完成条件 020,Icon_Ach,30,Steam/InGame,1,奖励描述 020,LOC_ACH_020
ACH_021,成就 021,Progress,完成条件 021,Icon_Ach,10,Steam/InGame,1,奖励描述 021,LOC_ACH_021
ACH_022,成就 022,Progress,完成条件 022,Icon_Ach,15,Steam/InGame,1,奖励描述 022,LOC_ACH_022
ACH_023,成就 023,Progress,完成条件 023,Icon_Ach,20,Steam/InGame,1,奖励描述 023,LOC_ACH_023
ACH_024,成就 024,Progress,完成条件 024,Icon_Ach,25,Steam/InGame,1,奖励描述 024,LOC_ACH_024
ACH_025,成就 025,Progress,完成条件 025,Icon_Ach,30,Steam/InGame,0,奖励描述 025,LOC_ACH_025
ACH_026,成就 026,Progress,完成条件 026,Icon_Ach,10,Steam/InGame,0,奖励描述 026,LOC_ACH_026
ACH_027,成就 027,Progress,完成条件 027,Icon_Ach,15,Steam/InGame,0,奖励描述 027,LOC_ACH_027
ACH_028,成就 028,Progress,完成条件 028,Icon_Ach,20,Steam/InGame,0,奖励描述 028,LOC_ACH_028
ACH_029,成就 029,Progress,完成条件 029,Icon_Ach,25,Steam/InGame,0,奖励描述 029,LOC_ACH_029
ACH_030,成就 030,Progress,完成条件 030,Icon_Ach,30,Steam/InGame,0,奖励描述 030,LOC_ACH_030
