UpgradeID,Name,Rarity,PhaseBias,Category,GrantType,RefID,Weight,MinLv,MaxLv,NeedTags,NeedUpgrade,StarterBias,Pool,Description,LocKey,Version
UPG_SK_001,技能强化：精炼打击 I,Common,Early,Skill,GrantSkill,SK_PASS_DMG_1,99,1,999,,,Y,All,获得技能：精炼打击 I（伤害提升12%）,LOC_UPG_SK_001,Release
UPG_SK_002,技能强化：极速回摆 I,Common,Early,Skill,GrantSkill,SK_PASS_ASPD_1,98,1,999,,,Y,All,获得技能：极速回摆 I（攻速提升10%）,LOC_UPG_SK_002,Release
UPG_SK_003,技能强化：外扩垫片 I,Common,Early,Skill,GrantSkill,SK_PASS_AOE_1,97,1,999,,,Y,All,获得技能：外扩垫片 I（范围提升15%）,LOC_UPG_SK_003,Release
UPG_SK_004,技能强化：校准瞄点 I,Common,Early,Skill,GrantSkill,SK_PASS_CRIT_1,96,1,999,,,Y,All,获得技能：校准瞄点 I（暴击率提升8%）,LOC_UPG_SK_004,Release
UPG_SK_005,技能强化：赏金账本 I,Common,Early,Skill,GrantSkill,SK_PASS_GOLD_1,95,1,999,,,Y,All,获得技能：赏金账本 I（金币收益提升20%）,LOC_UPG_SK_005,Release
UPG_SK_006,技能强化：过载弹流,Rare,Early,Skill,GrantSkill,SK_SHOCK_CHAIN,94,1,999,,,Y,All,获得技能：过载弹流（感电目标额外弹射1次）,LOC_UPG_SK_006,Release
UPG_SK_007,技能强化：爆燃反应,Rare,Early,Skill,GrantSkill,SK_BURN_BURST,93,1,999,,,Y,All,获得技能：爆燃反应（击杀灼烧目标引发爆燃）,LOC_UPG_SK_007,Release
UPG_SK_008,技能强化：终审逻辑,Epic,Early,Skill,GrantSkill,SK_EXEC_GRID,92,1,999,,,Y,All,获得技能：终审逻辑（每2秒处决阈值以下敌人）,LOC_UPG_SK_008,Release
UPG_SK_009,技能强化：金流护甲,Rare,Early,Skill,GrantSkill,SK_GOLD_ARMOR,91,1,999,,,Y,All,获得技能：金流护甲（持有金币提升护甲）,LOC_UPG_SK_009,Release
UPG_SK_010,技能强化：连击狂热,Epic,Early,Skill,GrantSkill,SK_COMBO_FRENZY,90,1,999,,,Y,All,获得技能：连击狂热（达到25连击进入5秒狂热）,LOC_UPG_SK_010,Release
UPG_SK_011,技能强化：Damage模组 01,Common,Early,Skill,GrantSkill,SK_DMG_01,89,1,999,,,Y,All,获得技能：Damage模组 01（数值伤害向强化条目，等级1。）,LOC_UPG_SK_011,Release
UPG_SK_012,技能强化：Damage模组 02,Common,Early,Skill,GrantSkill,SK_DMG_02,88,1,999,,,Y,All,获得技能：Damage模组 02（数值伤害向强化条目，等级2。）,LOC_UPG_SK_012,Release
UPG_SK_013,技能强化：Damage模组 03,Common,Early,Skill,GrantSkill,SK_DMG_03,87,1,999,,,Y,All,获得技能：Damage模组 03（数值伤害向强化条目，等级3。）,LOC_UPG_SK_013,Release
UPG_SK_014,技能强化：Damage模组 04,Uncommon,Early,Skill,GrantSkill,SK_DMG_04,86,1,999,,,Y,All,获得技能：Damage模组 04（数值伤害向强化条目，等级4。）,LOC_UPG_SK_014,Release
UPG_SK_015,技能强化：Damage模组 05,Uncommon,Early,Skill,GrantSkill,SK_DMG_05,85,1,999,,,Y,All,获得技能：Damage模组 05（数值伤害向强化条目，等级5。）,LOC_UPG_SK_015,Release
UPG_SK_016,技能强化：Damage模组 06,Uncommon,Early,Skill,GrantSkill,SK_DMG_06,84,1,999,,,Y,All,获得技能：Damage模组 06（数值伤害向强化条目，等级6。）,LOC_UPG_SK_016,Release
UPG_SK_017,技能强化：Damage模组 07,Rare,Early,Skill,GrantSkill,SK_DMG_07,100,1,999,,,Y,All,获得技能：Damage模组 07（数值伤害向强化条目，等级7。）,LOC_UPG_SK_017,Release
UPG_SK_018,技能强化：Damage模组 08,Rare,Early,Skill,GrantSkill,SK_DMG_08,99,1,999,,,Y,All,获得技能：Damage模组 08（数值伤害向强化条目，等级8。）,LOC_UPG_SK_018,Release
UPG_SK_019,技能强化：Damage模组 09,Rare,Early,Skill,GrantSkill,SK_DMG_09,98,1,999,,,Y,All,获得技能：Damage模组 09（数值伤害向强化条目，等级9。）,LOC_UPG_SK_019,Release
UPG_SK_020,技能强化：Damage模组 10,Epic,Early,Skill,GrantSkill,SK_DMG_10,97,1,999,TAG_Damage,UPG_SK_019,Y,All,获得技能：Damage模组 10（数值伤害向强化条目，等级10。）,LOC_UPG_SK_020,Release
UPG_SK_021,技能强化：Damage模组 11,Epic,Early,Skill,GrantSkill,SK_DMG_11,96,1,999,TAG_Damage,UPG_SK_020,Y,All,获得技能：Damage模组 11（数值伤害向强化条目，等级11。）,LOC_UPG_SK_021,Release
UPG_SK_022,技能强化：Damage模组 12,Epic,Early,Skill,GrantSkill,SK_DMG_12,95,1,999,TAG_Damage,UPG_SK_021,Y,All,获得技能：Damage模组 12（数值伤害向强化条目，等级12。）,LOC_UPG_SK_022,Release
UPG_SK_023,技能强化：AttackSpeed模组 01,Common,Early,Skill,GrantSkill,SK_ASPD_01,94,1,999,TAG_AttackSpeed,UPG_SK_022,Y,All,获得技能：AttackSpeed模组 01（攻速/频率向强化条目，等级1。）,LOC_UPG_SK_023,Release
UPG_SK_024,技能强化：AttackSpeed模组 02,Common,Early,Skill,GrantSkill,SK_ASPD_02,93,1,999,TAG_AttackSpeed,UPG_SK_023,Y,All,获得技能：AttackSpeed模组 02（攻速/频率向强化条目，等级2。）,LOC_UPG_SK_024,Release
UPG_SK_025,技能强化：AttackSpeed模组 03,Common,Early,Skill,GrantSkill,SK_ASPD_03,92,1,999,TAG_AttackSpeed,UPG_SK_024,Y,All,获得技能：AttackSpeed模组 03（攻速/频率向强化条目，等级3。）,LOC_UPG_SK_025,Release
UPG_SK_026,技能强化：AttackSpeed模组 04,Uncommon,Early,Skill,GrantSkill,SK_ASPD_04,91,1,999,TAG_AttackSpeed,UPG_SK_025,Y,All,获得技能：AttackSpeed模组 04（攻速/频率向强化条目，等级4。）,LOC_UPG_SK_026,Release
UPG_SK_027,技能强化：AttackSpeed模组 05,Uncommon,Early,Skill,GrantSkill,SK_ASPD_05,90,1,999,TAG_AttackSpeed,UPG_SK_026,Y,All,获得技能：AttackSpeed模组 05（攻速/频率向强化条目，等级5。）,LOC_UPG_SK_027,Release
UPG_SK_028,技能强化：AttackSpeed模组 06,Uncommon,Early,Skill,GrantSkill,SK_ASPD_06,89,1,999,TAG_AttackSpeed,UPG_SK_027,Y,All,获得技能：AttackSpeed模组 06（攻速/频率向强化条目，等级6。）,LOC_UPG_SK_028,Release
UPG_SK_029,技能强化：AttackSpeed模组 07,Rare,Early,Skill,GrantSkill,SK_ASPD_07,88,1,999,TAG_AttackSpeed,UPG_SK_028,Y,All,获得技能：AttackSpeed模组 07（攻速/频率向强化条目，等级7。）,LOC_UPG_SK_029,Release
UPG_SK_030,技能强化：AttackSpeed模组 08,Rare,Early,Skill,GrantSkill,SK_ASPD_08,87,1,999,TAG_AttackSpeed,UPG_SK_029,Y,All,获得技能：AttackSpeed模组 08（攻速/频率向强化条目，等级8。）,LOC_UPG_SK_030,Release
UPG_SK_031,技能强化：AttackSpeed模组 09,Rare,Early,Skill,GrantSkill,SK_ASPD_09,86,1,999,TAG_AttackSpeed,UPG_SK_030,Y,All,获得技能：AttackSpeed模组 09（攻速/频率向强化条目，等级9。）,LOC_UPG_SK_031,Release
UPG_SK_032,技能强化：AttackSpeed模组 10,Epic,Early,Skill,GrantSkill,SK_ASPD_10,85,1,999,TAG_AttackSpeed,UPG_SK_031,Y,All,获得技能：AttackSpeed模组 10（攻速/频率向强化条目，等级10。）,LOC_UPG_SK_032,Release
UPG_SK_033,技能强化：AttackSpeed模组 11,Epic,Early,Skill,GrantSkill,SK_ASPD_11,84,1,999,TAG_AttackSpeed,UPG_SK_032,Y,All,获得技能：AttackSpeed模组 11（攻速/频率向强化条目，等级11。）,LOC_UPG_SK_033,Release
UPG_SK_034,技能强化：AttackSpeed模组 12,Epic,Early,Skill,GrantSkill,SK_ASPD_12,100,1,999,TAG_AttackSpeed,UPG_SK_033,Y,All,获得技能：AttackSpeed模组 12（攻速/频率向强化条目，等级12。）,LOC_UPG_SK_034,Release
UPG_SK_035,技能强化：AOE模组 01,Common,Early,Skill,GrantSkill,SK_AOE_01,99,1,999,TAG_AOE,UPG_SK_034,Y,All,获得技能：AOE模组 01（范围扩张向强化条目，等级1。）,LOC_UPG_SK_035,Release
UPG_SK_036,技能强化：AOE模组 02,Common,Early,Skill,GrantSkill,SK_AOE_02,98,1,999,TAG_AOE,UPG_SK_035,Y,All,获得技能：AOE模组 02（范围扩张向强化条目，等级2。）,LOC_UPG_SK_036,Release
UPG_SK_037,技能强化：AOE模组 03,Common,Early,Skill,GrantSkill,SK_AOE_03,97,1,999,TAG_AOE,UPG_SK_036,Y,All,获得技能：AOE模组 03（范围扩张向强化条目，等级3。）,LOC_UPG_SK_037,Release
UPG_SK_038,技能强化：AOE模组 04,Uncommon,Early,Skill,GrantSkill,SK_AOE_04,96,1,999,TAG_AOE,UPG_SK_037,Y,All,获得技能：AOE模组 04（范围扩张向强化条目，等级4。）,LOC_UPG_SK_038,Release
UPG_SK_039,技能强化：AOE模组 05,Uncommon,Early,Skill,GrantSkill,SK_AOE_05,95,1,999,TAG_AOE,UPG_SK_038,Y,All,获得技能：AOE模组 05（范围扩张向强化条目，等级5。）,LOC_UPG_SK_039,Release
UPG_SK_040,技能强化：AOE模组 06,Uncommon,Mid,Skill,GrantSkill,SK_AOE_06,94,1,999,TAG_AOE,UPG_SK_039,N,All,获得技能：AOE模组 06（范围扩张向强化条目，等级6。）,LOC_UPG_SK_040,Release
UPG_SK_041,技能强化：AOE模组 07,Rare,Mid,Skill,GrantSkill,SK_AOE_07,93,1,999,TAG_AOE,UPG_SK_040,N,All,获得技能：AOE模组 07（范围扩张向强化条目，等级7。）,LOC_UPG_SK_041,Release
UPG_SK_042,技能强化：AOE模组 08,Rare,Mid,Skill,GrantSkill,SK_AOE_08,92,1,999,TAG_AOE,UPG_SK_041,N,All,获得技能：AOE模组 08（范围扩张向强化条目，等级8。）,LOC_UPG_SK_042,Release
UPG_SK_043,技能强化：AOE模组 09,Rare,Mid,Skill,GrantSkill,SK_AOE_09,91,1,999,TAG_AOE,UPG_SK_042,N,All,获得技能：AOE模组 09（范围扩张向强化条目，等级9。）,LOC_UPG_SK_043,Release
UPG_SK_044,技能强化：AOE模组 10,Epic,Mid,Skill,GrantSkill,SK_AOE_10,90,1,999,TAG_AOE,UPG_SK_043,N,All,获得技能：AOE模组 10（范围扩张向强化条目，等级10。）,LOC_UPG_SK_044,Release
UPG_SK_045,技能强化：AOE模组 11,Epic,Mid,Skill,GrantSkill,SK_AOE_11,89,1,999,TAG_AOE,UPG_SK_044,N,All,获得技能：AOE模组 11（范围扩张向强化条目，等级11。）,LOC_UPG_SK_045,Release
UPG_SK_046,技能强化：AOE模组 12,Epic,Mid,Skill,GrantSkill,SK_AOE_12,88,1,999,TAG_AOE,UPG_SK_045,N,All,获得技能：AOE模组 12（范围扩张向强化条目，等级12。）,LOC_UPG_SK_046,Release
UPG_SK_047,技能强化：Crit模组 01,Common,Mid,Skill,GrantSkill,SK_CRIT_01,87,1,999,TAG_Crit,UPG_SK_046,N,All,获得技能：Crit模组 01（暴击强化向强化条目，等级1。）,LOC_UPG_SK_047,Release
UPG_SK_048,技能强化：Crit模组 02,Common,Mid,Skill,GrantSkill,SK_CRIT_02,86,1,999,TAG_Crit,UPG_SK_047,N,All,获得技能：Crit模组 02（暴击强化向强化条目，等级2。）,LOC_UPG_SK_048,Release
UPG_SK_049,技能强化：Crit模组 03,Common,Mid,Skill,GrantSkill,SK_CRIT_03,85,1,999,TAG_Crit,UPG_SK_048,N,All,获得技能：Crit模组 03（暴击强化向强化条目，等级3。）,LOC_UPG_SK_049,Release
UPG_SK_050,技能强化：Crit模组 04,Uncommon,Mid,Skill,GrantSkill,SK_CRIT_04,84,1,999,TAG_Crit,UPG_SK_049,N,All,获得技能：Crit模组 04（暴击强化向强化条目，等级4。）,LOC_UPG_SK_050,Release
UPG_SK_051,技能强化：Crit模组 05,Uncommon,Mid,Skill,GrantSkill,SK_CRIT_05,100,1,999,TAG_Crit,UPG_SK_050,N,All,获得技能：Crit模组 05（暴击强化向强化条目，等级5。）,LOC_UPG_SK_051,Release
UPG_SK_052,技能强化：Crit模组 06,Uncommon,Mid,Skill,GrantSkill,SK_CRIT_06,99,1,999,TAG_Crit,UPG_SK_051,N,All,获得技能：Crit模组 06（暴击强化向强化条目，等级6。）,LOC_UPG_SK_052,Release
UPG_SK_053,技能强化：Crit模组 07,Rare,Mid,Skill,GrantSkill,SK_CRIT_07,98,1,999,TAG_Crit,UPG_SK_052,N,All,获得技能：Crit模组 07（暴击强化向强化条目，等级7。）,LOC_UPG_SK_053,Release
UPG_SK_054,技能强化：Crit模组 08,Rare,Mid,Skill,GrantSkill,SK_CRIT_08,97,1,999,TAG_Crit,UPG_SK_053,N,All,获得技能：Crit模组 08（暴击强化向强化条目，等级8。）,LOC_UPG_SK_054,Release
UPG_SK_055,技能强化：Crit模组 09,Rare,Mid,Skill,GrantSkill,SK_CRIT_09,96,1,999,TAG_Crit,UPG_SK_054,N,All,获得技能：Crit模组 09（暴击强化向强化条目，等级9。）,LOC_UPG_SK_055,Release
UPG_SK_056,技能强化：Crit模组 10,Epic,Mid,Skill,GrantSkill,SK_CRIT_10,95,1,999,TAG_Crit,UPG_SK_055,N,All,获得技能：Crit模组 10（暴击强化向强化条目，等级10。）,LOC_UPG_SK_056,Release
UPG_SK_057,技能强化：Crit模组 11,Epic,Mid,Skill,GrantSkill,SK_CRIT_11,94,1,999,TAG_Crit,UPG_SK_056,N,All,获得技能：Crit模组 11（暴击强化向强化条目，等级11。）,LOC_UPG_SK_057,Release
UPG_SK_058,技能强化：Crit模组 12,Epic,Mid,Skill,GrantSkill,SK_CRIT_12,93,1,999,TAG_Crit,UPG_SK_057,N,All,获得技能：Crit模组 12（暴击强化向强化条目，等级12。）,LOC_UPG_SK_058,Release
UPG_SK_059,技能强化：Shock模组 01,Common,Mid,Skill,GrantSkill,SK_SHOCK_01,92,1,999,TAG_Shock,UPG_SK_058,N,All,获得技能：Shock模组 01（感电/连锁向强化条目，等级1。）,LOC_UPG_SK_059,Release
UPG_SK_060,技能强化：Shock模组 02,Common,Mid,Skill,GrantSkill,SK_SHOCK_02,91,1,999,TAG_Shock,UPG_SK_059,N,All,获得技能：Shock模组 02（感电/连锁向强化条目，等级2。）,LOC_UPG_SK_060,Release
UPG_SK_061,技能强化：Shock模组 03,Common,Mid,Skill,GrantSkill,SK_SHOCK_03,90,1,999,TAG_Shock,UPG_SK_060,N,All,获得技能：Shock模组 03（感电/连锁向强化条目，等级3。）,LOC_UPG_SK_061,Release
UPG_SK_062,技能强化：Shock模组 04,Uncommon,Mid,Skill,GrantSkill,SK_SHOCK_04,89,1,999,TAG_Shock,UPG_SK_061,N,All,获得技能：Shock模组 04（感电/连锁向强化条目，等级4。）,LOC_UPG_SK_062,Release
UPG_SK_063,技能强化：Shock模组 05,Uncommon,Mid,Skill,GrantSkill,SK_SHOCK_05,88,1,999,TAG_Shock,UPG_SK_062,N,All,获得技能：Shock模组 05（感电/连锁向强化条目，等级5。）,LOC_UPG_SK_063,Release
UPG_SK_064,技能强化：Shock模组 06,Uncommon,Mid,Skill,GrantSkill,SK_SHOCK_06,87,1,999,TAG_Shock,UPG_SK_063,N,All,获得技能：Shock模组 06（感电/连锁向强化条目，等级6。）,LOC_UPG_SK_064,Release
UPG_SK_065,技能强化：Shock模组 07,Rare,Mid,Skill,GrantSkill,SK_SHOCK_07,86,1,999,TAG_Shock,UPG_SK_064,N,All,获得技能：Shock模组 07（感电/连锁向强化条目，等级7。）,LOC_UPG_SK_065,Release
UPG_SK_066,技能强化：Shock模组 08,Rare,Mid,Skill,GrantSkill,SK_SHOCK_08,85,1,999,TAG_Shock,UPG_SK_065,N,All,获得技能：Shock模组 08（感电/连锁向强化条目，等级8。）,LOC_UPG_SK_066,Release
UPG_SK_067,技能强化：Shock模组 09,Rare,Mid,Skill,GrantSkill,SK_SHOCK_09,84,1,999,TAG_Shock,UPG_SK_066,N,All,获得技能：Shock模组 09（感电/连锁向强化条目，等级9。）,LOC_UPG_SK_067,Release
UPG_SK_068,技能强化：Shock模组 10,Epic,Mid,Skill,GrantSkill,SK_SHOCK_10,100,1,999,TAG_Shock,UPG_SK_067,N,All,获得技能：Shock模组 10（感电/连锁向强化条目，等级10。）,LOC_UPG_SK_068,Release
UPG_SK_069,技能强化：Shock模组 11,Epic,Mid,Skill,GrantSkill,SK_SHOCK_11,99,1,999,TAG_Shock,UPG_SK_068,N,All,获得技能：Shock模组 11（感电/连锁向强化条目，等级11。）,LOC_UPG_SK_069,Release
UPG_SK_070,技能强化：Shock模组 12,Epic,Mid,Skill,GrantSkill,SK_SHOCK_12,98,1,999,TAG_Shock,UPG_SK_069,N,All,获得技能：Shock模组 12（感电/连锁向强化条目，等级12。）,LOC_UPG_SK_070,Release
UPG_SK_071,技能强化：Fire模组 01,Common,Mid,Skill,GrantSkill,SK_FIRE_01,97,1,999,TAG_Fire,UPG_SK_070,N,All,获得技能：Fire模组 01（灼烧/爆炸向强化条目，等级1。）,LOC_UPG_SK_071,Release
UPG_SK_072,技能强化：Fire模组 02,Common,Mid,Skill,GrantSkill,SK_FIRE_02,96,1,999,TAG_Fire,UPG_SK_071,N,All,获得技能：Fire模组 02（灼烧/爆炸向强化条目，等级2。）,LOC_UPG_SK_072,Release
UPG_SK_073,技能强化：Fire模组 03,Common,Mid,Skill,GrantSkill,SK_FIRE_03,95,1,999,TAG_Fire,UPG_SK_072,N,All,获得技能：Fire模组 03（灼烧/爆炸向强化条目，等级3。）,LOC_UPG_SK_073,Release
UPG_SK_074,技能强化：Fire模组 04,Uncommon,Mid,Skill,GrantSkill,SK_FIRE_04,94,1,999,TAG_Fire,UPG_SK_073,N,All,获得技能：Fire模组 04（灼烧/爆炸向强化条目，等级4。）,LOC_UPG_SK_074,Release
UPG_SK_075,技能强化：Fire模组 05,Uncommon,Mid,Skill,GrantSkill,SK_FIRE_05,93,1,999,TAG_Fire,UPG_SK_074,N,All,获得技能：Fire模组 05（灼烧/爆炸向强化条目，等级5。）,LOC_UPG_SK_075,Release
UPG_SK_076,技能强化：Fire模组 06,Uncommon,Mid,Skill,GrantSkill,SK_FIRE_06,92,1,999,TAG_Fire,UPG_SK_075,N,All,获得技能：Fire模组 06（灼烧/爆炸向强化条目，等级6。）,LOC_UPG_SK_076,Release
UPG_SK_077,技能强化：Fire模组 07,Rare,Mid,Skill,GrantSkill,SK_FIRE_07,91,1,999,TAG_Fire,UPG_SK_076,N,All,获得技能：Fire模组 07（灼烧/爆炸向强化条目，等级7。）,LOC_UPG_SK_077,Release
UPG_SK_078,技能强化：Fire模组 08,Rare,Mid,Skill,GrantSkill,SK_FIRE_08,90,1,999,TAG_Fire,UPG_SK_077,N,All,获得技能：Fire模组 08（灼烧/爆炸向强化条目，等级8。）,LOC_UPG_SK_078,Release
UPG_SK_079,技能强化：Fire模组 09,Rare,Mid,Skill,GrantSkill,SK_FIRE_09,89,1,999,TAG_Fire,UPG_SK_078,N,All,获得技能：Fire模组 09（灼烧/爆炸向强化条目，等级9。）,LOC_UPG_SK_079,Release
UPG_SK_080,技能强化：Fire模组 10,Epic,Mid,Skill,GrantSkill,SK_FIRE_10,88,1,999,TAG_Fire,UPG_SK_079,N,All,获得技能：Fire模组 10（灼烧/爆炸向强化条目，等级10。）,LOC_UPG_SK_080,Release
UPG_SK_081,技能强化：Fire模组 11,Epic,Mid,Skill,GrantSkill,SK_FIRE_11,87,1,999,TAG_Fire,UPG_SK_080,N,All,获得技能：Fire模组 11（灼烧/爆炸向强化条目，等级11。）,LOC_UPG_SK_081,Release
UPG_SK_082,技能强化：Fire模组 12,Epic,Mid,Skill,GrantSkill,SK_FIRE_12,86,1,999,TAG_Fire,UPG_SK_081,N,All,获得技能：Fire模组 12（灼烧/爆炸向强化条目，等级12。）,LOC_UPG_SK_082,Release
UPG_SK_083,技能强化：Frost模组 01,Common,Mid,Skill,GrantSkill,SK_FROST_01,85,1,999,TAG_Frost,UPG_SK_082,N,All,获得技能：Frost模组 01（冻结/减速向强化条目，等级1。）,LOC_UPG_SK_083,Release
UPG_SK_084,技能强化：Frost模组 02,Common,Mid,Skill,GrantSkill,SK_FROST_02,84,1,999,TAG_Frost,UPG_SK_083,N,All,获得技能：Frost模组 02（冻结/减速向强化条目，等级2。）,LOC_UPG_SK_084,Release
UPG_SK_085,技能强化：Frost模组 03,Common,Mid,Skill,GrantSkill,SK_FROST_03,100,1,999,TAG_Frost,UPG_SK_084,N,All,获得技能：Frost模组 03（冻结/减速向强化条目，等级3。）,LOC_UPG_SK_085,Release
UPG_SK_086,技能强化：Frost模组 04,Uncommon,Mid,Skill,GrantSkill,SK_FROST_04,99,1,999,TAG_Frost,UPG_SK_085,N,All,获得技能：Frost模组 04（冻结/减速向强化条目，等级4。）,LOC_UPG_SK_086,Release
UPG_SK_087,技能强化：Frost模组 05,Uncommon,Mid,Skill,GrantSkill,SK_FROST_05,98,1,999,TAG_Frost,UPG_SK_086,N,All,获得技能：Frost模组 05（冻结/减速向强化条目，等级5。）,LOC_UPG_SK_087,Release
UPG_SK_088,技能强化：Frost模组 06,Uncommon,Mid,Skill,GrantSkill,SK_FROST_06,97,1,999,TAG_Frost,UPG_SK_087,N,All,获得技能：Frost模组 06（冻结/减速向强化条目，等级6。）,LOC_UPG_SK_088,Release
UPG_SK_089,技能强化：Frost模组 07,Rare,Mid,Skill,GrantSkill,SK_FROST_07,96,1,999,TAG_Frost,UPG_SK_088,N,All,获得技能：Frost模组 07（冻结/减速向强化条目，等级7。）,LOC_UPG_SK_089,Release
UPG_SK_090,技能强化：Frost模组 08,Rare,Mid,Skill,GrantSkill,SK_FROST_08,95,1,999,TAG_Frost,UPG_SK_089,N,All,获得技能：Frost模组 08（冻结/减速向强化条目，等级8。）,LOC_UPG_SK_090,Release
UPG_SK_091,技能强化：Frost模组 09,Rare,Mid,Skill,GrantSkill,SK_FROST_09,94,1,999,TAG_Frost,UPG_SK_090,N,All,获得技能：Frost模组 09（冻结/减速向强化条目，等级9。）,LOC_UPG_SK_091,Release
UPG_SK_092,技能强化：Frost模组 10,Epic,Mid,Skill,GrantSkill,SK_FROST_10,93,1,999,TAG_Frost,UPG_SK_091,N,All,获得技能：Frost模组 10（冻结/减速向强化条目，等级10。）,LOC_UPG_SK_092,Release
UPG_SK_093,技能强化：Frost模组 11,Epic,Mid,Skill,GrantSkill,SK_FROST_11,92,1,999,TAG_Frost,UPG_SK_092,N,All,获得技能：Frost模组 11（冻结/减速向强化条目，等级11。）,LOC_UPG_SK_093,Release
UPG_SK_094,技能强化：Frost模组 12,Epic,Mid,Skill,GrantSkill,SK_FROST_12,91,1,999,TAG_Frost,UPG_SK_093,N,All,获得技能：Frost模组 12（冻结/减速向强化条目，等级12。）,LOC_UPG_SK_094,Release
UPG_SK_095,技能强化：Gold模组 01,Common,Mid,Skill,GrantSkill,SK_GOLD_01,90,1,999,TAG_Gold,UPG_SK_094,N,All,获得技能：Gold模组 01（经济/赏金向强化条目，等级1。）,LOC_UPG_SK_095,Release
UPG_SK_096,技能强化：Gold模组 02,Common,Mid,Skill,GrantSkill,SK_GOLD_02,89,1,999,TAG_Gold,UPG_SK_095,N,All,获得技能：Gold模组 02（经济/赏金向强化条目，等级2。）,LOC_UPG_SK_096,Release
UPG_SK_097,技能强化：Gold模组 03,Common,Mid,Skill,GrantSkill,SK_GOLD_03,88,1,999,TAG_Gold,UPG_SK_096,N,All,获得技能：Gold模组 03（经济/赏金向强化条目，等级3。）,LOC_UPG_SK_097,Release
UPG_SK_098,技能强化：Gold模组 04,Uncommon,Mid,Skill,GrantSkill,SK_GOLD_04,87,1,999,TAG_Gold,UPG_SK_097,N,All,获得技能：Gold模组 04（经济/赏金向强化条目，等级4。）,LOC_UPG_SK_098,Release
UPG_SK_099,技能强化：Gold模组 05,Uncommon,Mid,Skill,GrantSkill,SK_GOLD_05,86,1,999,TAG_Gold,UPG_SK_098,N,All,获得技能：Gold模组 05（经济/赏金向强化条目，等级5。）,LOC_UPG_SK_099,Release
